Dataset,Modelo,Seed,k,DSEL_perc,Tempo_segundos,MAE,RMSE,R2,MAE_RARE,RMSE_RARE,RARES_TEST,PERC_RARES_TEST,P10_train,P90_train
mortgage,Bagging,0,,,0.3356630802154541,0.09484095238095243,0.17704099552148392,0.9969238967579394,0.16140930232558134,0.2691312448913062,43,20.476190476190474,4.19,12.154000000000002
mortgage,Bagging,0,,,0.3356630802154541,0.09484095238095243,0.17704099552148392,0.9969238967579394,0.16140930232558134,0.2691312448913062,43,20.476190476190474,4.19,12.154000000000002
mortgage,DESREG-SE,0,5.0,0.5,5.2143800258636475,0.10311726984126987,0.18613784112656742,0.9965996582603819,0.18357953488372097,0.27634052113598084,43,20.476190476190474,4.19,12.154000000000002
mortgage,DESREG-SE,0,5.0,0.5,5.2143800258636475,0.10311726984126987,0.18613784112656742,0.9965996582603819,0.18357953488372097,0.27634052113598084,43,20.476190476190474,4.19,12.154000000000002
mortgage,DESREG-DRS,0,5.0,0.5,70.50662231445312,0.11695333333333333,0.22290195709367505,0.9951238058998966,0.1957581395348836,0.33810052447632044,43,20.476190476190474,4.19,12.154000000000002
mortgage,DESREG-DRS,0,5.0,0.5,70.50662231445312,0.11695333333333333,0.22290195709367505,0.9951238058998966,0.1957581395348836,0.33810052447632044,43,20.476190476190474,4.19,12.154000000000002
mortgage,DESREG-DES,0,5.0,0.5,95.74831032752991,0.089788817621532,0.15020205077120305,0.9977858606719839,0.14361890214436746,0.22599903856604284,43,20.476190476190474,4.19,12.154000000000002
mortgage,DESREG-DES,0,5.0,0.5,95.74831032752991,0.089788817621532,0.15020205077120305,0.9977858606719839,0.14361890214436746,0.22599903856604284,43,20.476190476190474,4.19,12.154000000000002
mortgage,Decision Tree,1,,,0.01206064224243164,0.11080952380952386,0.18800075987688383,0.9964027407432016,0.17977777777777765,0.2454429103115878,45,21.428571428571427,4.27,12.28
mortgage,Decision Tree,1,,,0.01206064224243164,0.11080952380952386,0.18800075987688383,0.9964027407432016,0.17977777777777765,0.2454429103115878,45,21.428571428571427,4.27,12.28
mortgage,Random Forest,1,,,-0.272707462310791,0.08153523809523795,0.143270245141331,0.9979108744643775,0.14260444444444303,0.20268684877580603,45,21.428571428571427,4.27,12.28
mortgage,Random Forest,1,,,-0.272707462310791,0.08153523809523795,0.143270245141331,0.9979108744643775,0.14260444444444303,0.20268684877580603,45,21.428571428571427,4.27,12.28
mortgage,Bagging,1,,,0.46874499320983887,0.08490476190476186,0.1445651673780639,0.9978729394334351,0.14874222222222222,0.21270523161303673,45,21.428571428571427,4.27,12.28
mortgage,Bagging,1,,,0.46874499320983887,0.08490476190476186,0.1445651673780639,0.9978729394334351,0.14874222222222222,0.21270523161303673,45,21.428571428571427,4.27,12.28
mortgage,DESREG-SE,1,5.0,0.5,3.840494155883789,0.09137638095238108,0.17057325315553887,0.9970387546329039,0.1667152592592595,0.24516954651882647,45,21.428571428571427,4.27,12.28
mortgage,DESREG-SE,1,5.0,0.5,3.840494155883789,0.09137638095238108,0.17057325315553887,0.9970387546329039,0.1667152592592595,0.24516954651882647,45,21.428571428571427,4.27,12.28
mortgage,DESREG-DRS,1,5.0,0.5,70.16723680496216,0.10807142857142853,0.18664392735647115,0.9964544773988915,0.17210666666666696,0.26492413673016346,45,21.428571428571427,4.27,12.28
mortgage,DESREG-DRS,1,5.0,0.5,70.16723680496216,0.10807142857142853,0.18664392735647115,0.9964544773988915,0.17210666666666696,0.26492413673016346,45,21.428571428571427,4.27,12.28
mortgage,DESREG-DES,1,5.0,0.5,103.98933482170105,0.08276807380185969,0.14583921420195275,0.9978352828352933,0.144413565977233,0.215532546966774,45,21.428571428571427,4.27,12.28
mortgage,DESREG-DES,1,5.0,0.5,103.98933482170105,0.08276807380185969,0.14583921420195275,0.9978352828352933,0.144413565977233,0.215532546966774,45,21.428571428571427,4.27,12.28
mortgage,Decision Tree,2,,,0.012870073318481445,0.1276190476190476,0.205870972074397,0.9960616386004278,0.20346938775510207,0.2878314416034326,49,23.333333333333332,4.266,12.102
mortgage,Decision Tree,2,,,0.012870073318481445,0.1276190476190476,0.205870972074397,0.9960616386004278,0.20346938775510207,0.2878314416034326,49,23.333333333333332,4.266,12.102
mortgage,Random Forest,2,,,0.6080179214477539,0.09111142857142827,0.16199789739964163,0.9975613802236083,0.15221020408163272,0.22880264778330897,49,23.333333333333332,4.266,12.102
mortgage,Random Forest,2,,,0.6080179214477539,0.09111142857142827,0.16199789739964163,0.9975613802236083,0.15221020408163272,0.22880264778330897,49,23.333333333333332,4.266,12.102
mortgage,Bagging,2,,,0.7098934650421143,0.09445047619047624,0.16207326444425998,0.9975591106346624,0.16447755102040787,0.2342927298601175,49,23.333333333333332,4.266,12.102
mortgage,Bagging,2,,,0.7098934650421143,0.09445047619047624,0.16207326444425998,0.9975591106346624,0.16447755102040787,0.2342927298601175,49,23.333333333333332,4.266,12.102
mortgage,DESREG-SE,2,5.0,0.5,4.823524713516235,0.09578717460317458,0.17629362395502504,0.9971119909712866,0.16680054421768725,0.24614326486990548,49,23.333333333333332,4.266,12.102
mortgage,DESREG-SE,2,5.0,0.5,4.823524713516235,0.09578717460317458,0.17629362395502504,0.9971119909712866,0.16680054421768725,0.24614326486990548,49,23.333333333333332,4.266,12.102
